Name,Lat,Long,Category
PIE AE / PUBDENNYSNORTH1,30.276513,-97.729639,ElecCarCharging
COA FLEET - PIE / RUTHERFORD #3,30.337732,-97.680766,ElecCarCharging
PIE AE / PUB-STDAVIDSST2,30.268895,-97.739056,ElecCarCharging
COA FLEET - PIE / TOOMEY #2,30.263716,-97.759239,ElecCarCharging
ST. JOHNS WEST / ST JOHNS SW,30.337843,-97.714871,ElecCarCharging
THE GROVE / MAIN STATION 1,30.236473,-97.782607,ElecCarCharging
ENDEAVOR REG / VILL WESTLAKE 2,30.291349,-97.826317,ElecCarCharging
THE MEDVE GROUP / ARTS S AUSTIN,30.221064,-97.770408,ElecCarCharging
COA FLEET - PIE / ROOF 1,30.269205,-97.734184,ElecCarCharging
ENDEAVOR REG / NORDSTROM L1 #2,30.401589,-97.720053,ElecCarCharging
COA / NEWCENTRALLIB3,30.266102,-97.751688,ElecCarCharging
AMD GO GREEN / P100 FL4 OUTER,30.250779,-97.86175,ElecCarCharging
DSMCUT / EVSE09 FLOOR LL,30.275215,-97.734598,ElecCarCharging
MUELLER MARKET / MUELLER ST7,30.300934,-97.699428,ElecCarCharging
SAS / SAMSUNG 3,30.377424,-97.639722,ElecCarCharging
CTM / CTM,30.244744,-97.735798,ElecCarCharging
LAS CIMAS4 / LAS CIMAS #1,30.28771,-97.829448,ElecCarCharging
NATIONAL INSTRU / 17&18;,30.408534,-97.727744,ElecCarCharging
ENDEAVOR REG / BLUE GARAGE #3,30.403779,-97.722489,ElecCarCharging
NATIONAL INSTRU / 7&8,30.408505,-97.727699,ElecCarCharging
CZPROPERTIES / FLOOR 2 UNIT 1,30.276924,-97.74264,ElecCarCharging
COA FLEET - PIE / RUTHERFORD #1,30.335861,-97.679398,ElecCarCharging
FOUNDATION COMM / JORDAN2,30.298662,-97.694714,ElecCarCharging
LADERA BEND / BUILDING 1,30.373991,-97.802572,ElecCarCharging
FOUNDATION COMM / JORDAN4,30.298859,-97.694978,ElecCarCharging
CIELO CENTER / STATION 1,30.280344,-97.823529,ElecCarCharging
PIE AE / ERCOT 2,30.216521,-97.691645,ElecCarCharging
RPP GARAGE / GARAGE 2,30.429442,-97.755212,ElecCarCharging
ENDEAVOR REG / 901 E 6TH ST 2,30.265007,-97.733526,ElecCarCharging
ENDEAVOR REG / RED GARAGE #4,30.402146,-97.72321,ElecCarCharging
PIE AE / TLC STATION 1,30.258379,-97.751993,ElecCarCharging
AVIATION / 3RD FLOOR,30.21292,-97.66631,ElecCarCharging
MUELLER MARKET / MUELLER 2,30.302981,-97.698722,ElecCarCharging
7700 PARMER / 7700 PARMER 2,30.458594,-97.7526,ElecCarCharging
AMD GO GREEN / P100 FL2 RIGHT,30.250788,-97.861771,ElecCarCharging
120 ENTRANCE / ACH MAIN,30.235856,-97.741577,ElecCarCharging
ROSCOE PROPERTI / VOLUME MAIN,30.28544,-97.715107,ElecCarCharging
AISD PAC / AISD PAC #4,30.305269,-97.702269,ElecCarCharging
PIE AE / CITY HALL STAT2,30.264945,-97.747,ElecCarCharging
CHAMPION OFFICE / EV #2,30.3632,-97.793703,ElecCarCharging
HYATT PLACE / HP STATION 1,30.210412,-97.664797,ElecCarCharging
ENDEAVOR REG / DELLANA LN 1,30.268309,-97.783776,ElecCarCharging
ENDEAVOR REG / VILL WESTLAKE 1,30.291332,-97.826267,ElecCarCharging
PIE AE / PUB ACC EVIEW1,30.268116,-97.706104,ElecCarCharging
PRESIDIUM / VIOLET,30.191582,-97.775626,ElecCarCharging
PIE AE / KRAMER 01,30.394697,-97.716885,ElecCarCharging
COA / DOA - CONRAC1,30.204711,-97.666322,ElecCarCharging
HPI 3700 / EV 1,30.33688,-97.806575,ElecCarCharging
AUSTIN / AUSTIN 200 2,30.26445,-97.746142,ElecCarCharging
PIE AE / OTC 3FL PKGSTA2,30.256863,-97.748959,ElecCarCharging
COA FLEET - PIE / RUTHERFORD #2,30.335873,-97.679359,ElecCarCharging
PIE AE / PALMER STATION7,30.259966,-97.752658,ElecCarCharging
AVIATION / 2ND FLOOR R,30.204572,-97.669392,ElecCarCharging
HIDAUSTIN / STATION 02,30.414361,-97.666176,ElecCarCharging
ENDEAVOR REG / PALM WAY #2,30.403631,-97.719901,ElecCarCharging
SAS / SAMSUNG 4,30.377514,-97.639643,ElecCarCharging
ST. ED'S / GARAGE STATION1,30.226907,-97.751966,ElecCarCharging
CEDARHILLS-AE / CEDARHILL 1,30.189638,-97.856428,ElecCarCharging
COLONIAL CTR HR / STATION 1,30.266521,-97.75022,ElecCarCharging
COA FLEET - PIE / SPRING #2,30.259312,-97.699577,ElecCarCharging
SAS / STATION 1,30.377935,-97.639951,ElecCarCharging
RAINEY STREET / MILLENNIUM 01,30.260803,-97.737765,ElecCarCharging
B AUSTIN / STATION 1,30.206406,-97.807047,ElecCarCharging
HAWTHORNE / STATION 1,30.227434,-97.71854,ElecCarCharging
ENDEAVOR REG / BLUE GARAGE #5,30.403862,-97.72246,ElecCarCharging
